Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
597,3.40E+14,Deerfield High School,3.40E+14,Twp HSD 113,Deerfield,Lake,HIGH SCHOOL,Non Chicago School,0.8,87.9
598,3.40E+14,Highland Park High School,3.40E+14,Twp HSD 113,Highland Park,Lake,HIGH SCHOOL,Non Chicago School,13.2,80.2
599,2.70E+14,UNION HIGH SCHOOL,2.70E+14,UNION COMMUNITY UNIT SCH DIST 115,BIGGSVILLE,HENDERSON,HIGH SCHOOL,Non Chicago School,36.5,49.3
600,4.91E+14,United Twp High School,4.91E+14,United Twp HSD 30,East Moline,Rock Island,HIGH SCHOOL,Non Chicago School,38.2,40.1
601,9.01E+13,Urbana High School,9.01E+13,Urbana SD 116,Urbana,Champaign,HIGH SCHOOL,Non Chicago School,32,62.1
602,2.20E+14,V I T Sr High School,2.20E+14,V I T CUSD 2,Table Grove,Fulton,HIGH SCHOOL,Non Chicago School,26.8,55.6
603,56099365U260008,Romeoville High School,56099365U260000,Valley View CUSD 365U,Romeoville,Will,HIGH SCHOOL,Non Chicago School,20.8,50
604,56099365U260007,Bolingbrook High School,56099365U260000,Valley View CUSD 365U,Bolingbrook,Will,HIGH SCHOOL,Non Chicago School,25.1,59.6
605,4.51E+14,Valmeyer High School,4.51E+14,Valmeyer CUSD 3,Valmeyer,Monroe,HIGH SCHOOL,Non Chicago School,7,59.4
606,3.03E+13,Vandalia Community High School,3.03E+13,Vandalia CUSD 203,Vandalia,Fayette,HIGH SCHOOL,Non Chicago School,41.7,49.5
607,4.11E+14,VENICE HIGH SCHOOL,4.11E+14,Venice CUSD 3,Venice,Madison,HIGH SCHOOL,Non Chicago School,52.6,10.8
608,2.04E+13,Vienna High School,2.04E+13,Vienna HSD 133,Vienna,Johnson,HIGH SCHOOL,Non Chicago School,40.3,52.1
609,1.10E+14,Villa Grove High School,1.10E+14,Villa Grove CUSD 302,Villa Grove,Douglas,HIGH SCHOOL,Non Chicago School,19.6,34.9
610,4.01E+14,Virden High School,4.01E+14,Virden CUSD 4,Virden,Macoupin,HIGH SCHOOL,Non Chicago School,31.8,41.2
611,4.60E+14,Virginia Sr High School,4.60E+14,Virginia CUSD 64,Virginia,Cass,HIGH SCHOOL,Non Chicago School,24.4,35.7
