Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
3088,4.11E+14,Hartford Elem School,4.11E+14,Wood River-Hartford ESD 15,Hartford,Madison,ELEMENTARY,Non Chicago School,52.2,56.9
3089,3.40E+14,Woodland Middle School,3.40E+14,Woodland CCSD 50,Gurnee,Lake,MIDDLE SCHL,Non Chicago School,9.1,71.6
3090,3.40E+14,Woodland Intermediate Sch,3.40E+14,Woodland CCSD 50,Gurnee,Lake,ELEMENTARY,Non Chicago School,12.1,75.7
3091,3.40E+14,Woodland Elementary,3.40E+14,Woodland CCSD 50,Gages Lake,Lake,ELEMENTARY,Non Chicago School,12.2,77.1
3092,1.71E+14,Woodland Elementary/Jr High Sch,1.71E+14,Woodland CUSD 5,Streator,Livingston,ELEMENTARY,Non Chicago School,17.5,71.2
3093,2.50E+14,Woodlawn School,2.50E+14,Woodlawn CCSD 4,Woodlawn,Jefferson,ELEMENTARY,Non Chicago School,30.6,85.3
3094,1.90E+14,Goodrich Elem School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,ELEMENTARY,Non Chicago School,26.4,76.6
3095,1.90E+14,Willow Creek Elem School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,ELEMENTARY,Non Chicago School,20,89.3
3096,1.90E+14,Thomas Jefferson Jr High School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,MIDDLE SCHL,Non Chicago School,23.8,75.2
3097,1.90E+14,John L Sipley Elem School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,ELEMENTARY,Non Chicago School,10.1,87.6
3098,1.90E+14,Meadowview Elem School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,ELEMENTARY,Non Chicago School,23.4,83.7
3099,1.90E+14,William F Murphy Elem School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,ELEMENTARY,Non Chicago School,41.3,73.7
3100,1.90E+14,Edgewood Elem School,1.90E+14,Woodridge SD 68,Woodridge,Dupage,ELEMENTARY,Non Chicago School,23.7,77.9
3101,4.41E+14,Greenwood Elem School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,ELEMENTARY,Non Chicago School,20.4,70.1
